id,raw_query,sub_query,financial_terms,query_type,correct_agent
PROD_0015,Show me all products launched in Q4 2025.,Show me all products launched in Q4 2025.,product catalog,lookup,product_agent
PROD_0016,Update the SKU details for Insurance Plan Beta.,Update the SKU details for Insurance Plan Beta.,SKU,crud_action,product_agent
PROD_0017,Remove Platinum Credit Card from the active offerings.,Remove Platinum Credit Card from the active offerings.,product,crud_action,product_agent
PROD_0018,What is the minimum balance requirement for Product X?,What is the minimum balance requirement for Product X?,product,lookup,product_agent
PROD_0019,Set up a new product bundle including Basic Checking Account.,Set up a new product bundle including Basic Checking Account.,product creation,crud_action,product_agent
PROD_0020,Edit the description for Product X.,Edit the description for Product X.,product,crud_action,product_agent
PROD_0021,How many products are currently listed under the Corporate Banking division?,How many products are currently listed under the Corporate Banking division?,product catalog,lookup,product_agent
PROD_0022,Change the product category for Mutual Fund Series 1.,Change the product category for Mutual Fund Series 1.,product,crud_action,product_agent
PROD_0023,Create a new variant of Product X.,Create a new variant of Product X.,product creation,crud_action,product_agent
PROD_0024,What features does Basic Checking Account include?,What features does Basic Checking Account include?,product,lookup,product_agent
PROD_0025,Update the fee structure for Platinum Credit Card.,Update the fee structure for Platinum Credit Card.,product pricing,crud_action,product_agent
PROD_0026,Add Gold Credit Card to the SME Lending unit product line.,Add Gold Credit Card to the SME Lending unit product line.,product creation,crud_action,product_agent
PROD_0027,What's the current inventory status for Personal Loan Plan A?,What's the current inventory status for Personal Loan Plan A?,inventory,lookup,product_agent
PROD_0028,Discontinue Basic Checking Account effective next quarter.,Discontinue Basic Checking Account effective next quarter.,product,crud_action,product_agent
PROD_0029,Show me the pricing history for Insurance Plan Alpha.,Show me the pricing history for Insurance Plan Alpha.,product pricing,lookup,product_agent
PROD_0030,Create a promotional pricing plan for Mutual Fund Series 1.,Create a promotional pricing plan for Mutual Fund Series 1.,product pricing,crud_action,product_agent
PROD_0031,Update the risk rating for Basic Checking Account.,Update the risk rating for Basic Checking Account.,product,crud_action,product_agent
PROD_0032,What is the product code for Product X?,What is the product code for Product X?,SKU,lookup,product_agent
PROD_0033,Clone the Platinum Credit Card product setup for a new region.,Clone the Platinum Credit Card product setup for a new region.,product creation,crud_action,product_agent
PROD_0034,Adjust the tenure options available for Gold Credit Card.,Adjust the tenure options available for Gold Credit Card.,product,crud_action,product_agent
KNOW_0001,"Hi, how are you?","Hi, how are you?",,general,knowledge_agent
KNOW_0002,Hello!,Hello!,,general,knowledge_agent
KNOW_0003,What can you help me with?,What can you help me with?,,general,knowledge_agent
KNOW_0004,Good morning.,Good morning.,,general,knowledge_agent
KNOW_0005,What is EBITDA?,What is EBITDA?,EBITDA,definition,knowledge_agent
KNOW_0006,Can you explain what a current ratio means?,Can you explain what a current ratio means?,current ratio,definition,knowledge_agent
KNOW_0007,What does ROI stand for?,What does ROI stand for?,ROI,definition,knowledge_agent
KNOW_0008,What is the difference between gross margin and net margin?,What is the difference between gross margin and net margin?,gross margin;net margin,definition,knowledge_agent
KNOW_0009,"What is working capital, in simple terms?","What is working capital, in simple terms?",working capital,definition,knowledge_agent
KNOW_0010,Explain liquidity to me like I'm new to finance.,Explain liquidity to me like I'm new to finance.,liquidity,definition,knowledge_agent
KNOW_0011,"Thanks, that was helpful.","Thanks, that was helpful.",,general,knowledge_agent
KNOW_0012,Who are you?,Who are you?,,general,knowledge_agent
KNOW_0013,What kind of questions can I ask you?,What kind of questions can I ask you?,,general,knowledge_agent
KNOW_0014,What does profitability mean in accounting?,What does profitability mean in accounting?,profitability,definition,knowledge_agent
KNOW_0015,Can you define quick ratio?,Can you define quick ratio?,quick ratio,definition,knowledge_agent
KNOW_0016,What's the difference between cash flow and profit?,What's the difference between cash flow and profit?,cash flow;profit,definition,knowledge_agent
KNOW_0017,Hey there!,Hey there!,,general,knowledge_agent
KNOW_0018,What is a balance sheet?,What is a balance sheet?,balance sheet,definition,knowledge_agent
KNOW_0019,Can you explain what an income statement is?,Can you explain what an income statement is?,income statement,definition,knowledge_agent
KNOW_0020,What does EBIT mean?,What does EBIT mean?,EBIT,definition,knowledge_agent
KNOW_0021,How does compound interest work?,How does compound interest work?,compound interest,definition,knowledge_agent
KNOW_0022,What is the general concept of financial ratios?,What is the general concept of financial ratios?,financial ratios,definition,knowledge_agent
KNOW_0023,"Goodbye, thanks for your help.","Goodbye, thanks for your help.",,general,knowledge_agent
KNOW_0024,Can you explain what a SKU is used for?,Can you explain what a SKU is used for?,SKU,definition,knowledge_agent
KNOW_0025,What's the purpose of this app?,What's the purpose of this app?,,general,knowledge_agent
KNOW_0026,What does 'net income' generally refer to?,What does 'net income' generally refer to?,net income,definition,knowledge_agent
KNOW_0027,Is there a difference between assets and liabilities?,Is there a difference between assets and liabilities?,assets;liabilities,definition,knowledge_agent
KNOW_0028,What is meant by return on investment in general?,What is meant by return on investment in general?,ROI,definition,knowledge_agent
KNOW_0029,Can you give me an overview of financial statements?,Can you give me an overview of financial statements?,financial statements,definition,knowledge_agent
KNOW_0030,What is amortization?,What is amortization?,amortization,definition,knowledge_agent
KNOW_0031,"Thank you, appreciate the help.","Thank you, appreciate the help.",,general,knowledge_agent
KNOW_0032,What is depreciation in accounting terms?,What is depreciation in accounting terms?,depreciation,definition,knowledge_agent
KNOW_0033,How are you doing today?,How are you doing today?,,general,knowledge_agent
KNOW_0034,Can you tell me what a fiscal year is?,Can you tell me what a fiscal year is?,fiscal year,definition,knowledge_agent
KNOW_0035,"Hi, what's our net profit margin for Q1 2025?",Hi,,general,knowledge_agent
PROF_0035,"Hi, what's our net profit margin for Q1 2025?",What's our net profit margin for Q1 2025?,net profit margin,calculation,profitability_agent
LIQ_0035,"What's our current ratio for 2025, and can you also update the pricing on Product Y?",What's our current ratio for 2025?,current ratio,calculation,liquidity_agent
PROD_0035,"What's our current ratio for 2025, and can you also update the pricing on Product Y?",Can you also update the pricing on Product Y?,product pricing,crud_action,product_agent
PROF_0036,Can you tell me the EBITDA for FY2024 and the working capital for the Consumer Finance segment?,Can you tell me the EBITDA for FY2024?,EBITDA,lookup,profitability_agent
LIQ_0036,Can you tell me the EBITDA for FY2024 and the working capital for the Consumer Finance segment?,What is the working capital for the Consumer Finance segment?,working capital,lookup,liquidity_agent
KNOW_0036,"What is ROI, and what was our actual ROI for Fixed Deposit Plan in last year?",What is ROI?,ROI,definition,knowledge_agent
PROF_0037,"What is ROI, and what was our actual ROI for Fixed Deposit Plan in last year?",What was our actual ROI for Fixed Deposit Plan in last year?,ROI,calculation,profitability_agent
PROD_0036,Create a new product called Platinum Credit Card and show me its expected profit margin.,Create a new product called Platinum Credit Card.,product creation,crud_action,product_agent
PROF_0038,Create a new product called Platinum Credit Card and show me its expected profit margin.,Show me its expected profit margin.,profit margin,calculation,profitability_agent
LIQ_0037,"What's the quick ratio for Q4 2025, and also, hello, thanks for helping.",What's the quick ratio for Q4 2025?,quick ratio,lookup,liquidity_agent
KNOW_0037,"What's the quick ratio for Q4 2025, and also, hello, thanks for helping.","Hello, thanks for helping.",,general,knowledge_agent
PROD_0037,Update the fee structure for Insurance Plan Alpha and tell me the cash flow impact for 2024.,Update the fee structure for Insurance Plan Alpha.,product pricing,crud_action,product_agent
LIQ_0038,Update the fee structure for Insurance Plan Alpha and tell me the cash flow impact for 2024.,What is the cash flow impact for 2024?,cash flow,calculation,liquidity_agent
KNOW_0038,"Can you explain what net income means, and what was our net income for 2024?",Can you explain what net income means?,net income,definition,knowledge_agent
PROF_0039,"Can you explain what net income means, and what was our net income for 2024?",What was our net income for 2024?,net income,lookup,profitability_agent
PROF_0040,What's the operating margin for Q1 2025 and the current liquidity ratio for the SME Lending unit?,What's the operating margin for Q1 2025?,operating margin,lookup,profitability_agent
LIQ_0039,What's the operating margin for Q1 2025 and the current liquidity ratio for the SME Lending unit?,What is the current liquidity ratio for the SME Lending unit?,liquidity ratio,lookup,liquidity_agent
PROD_0038,Delete the Insurance Plan Alpha listing and confirm our EBITDA for last quarter.,Delete the Insurance Plan Alpha listing.,product,crud_action,product_agent
PROF_0041,Delete the Insurance Plan Alpha listing and confirm our EBITDA for last quarter.,Confirm our EBITDA for last quarter.,EBITDA,lookup,profitability_agent
KNOW_0039,"What does working capital mean, and what's ours right now?",What does working capital mean?,working capital,definition,knowledge_agent
LIQ_0040,"What does working capital mean, and what's ours right now?",What's our working capital right now?,working capital,lookup,liquidity_agent
PROD_0039,Add a new SKU for Basic Checking Account and check the current ratio for Q3 2025.,Add a new SKU for Basic Checking Account.,SKU,crud_action,product_agent
LIQ_0041,Add a new SKU for Basic Checking Account and check the current ratio for Q3 2025.,Check the current ratio for Q3 2025.,current ratio,lookup,liquidity_agent
PROF_0042,"Good morning, can you show me the gross margin for Q2 2025?",Can you show me the gross margin for Q2 2025?,gross margin,lookup,profitability_agent
LIQ_0042,"What's the free cash flow for FY2024, and can you also create a new pricing tier for Basic Checking Account?",What's the free cash flow for FY2024?,free cash flow,lookup,liquidity_agent
PROD_0040,"What's the free cash flow for FY2024, and can you also create a new pricing tier for Basic Checking Account?",Can you also create a new pricing tier for Basic Checking Account?,product pricing,crud_action,product_agent
KNOW_0040,Explain quick ratio to me and calculate ours for the Consumer Finance segment in Q4 2025.,Explain quick ratio to me.,quick ratio,definition,knowledge_agent
LIQ_0043,Explain quick ratio to me and calculate ours for the Consumer Finance segment in Q4 2025.,Calculate our quick ratio for the Consumer Finance segment in Q4 2025.,quick ratio,calculation,liquidity_agent
PROD_0041,Show me the product catalog and the net profit margin for Q1 2025.,Show me the product catalog.,product catalog,lookup,product_agent
PROF_0043,Show me the product catalog and the net profit margin for Q1 2025.,What is the net profit margin for Q1 2025?,net profit margin,lookup,profitability_agent
PROF_0044,What's the year-to-date net income?,What's the year-to-date net income?,net income,lookup,profitability_agent
PROF_0045,Show me EBITDA margin trends for the last 6 months.,Show me EBITDA margin trends for the last 6 months.,EBITDA margin,calculation,profitability_agent
PROF_0046,What was our ROI on the SME Lending unit last year?,What was our ROI on the SME Lending unit last year?,ROI,lookup,profitability_agent
PROF_0047,Give me profit margin by product category.,Give me profit margin by product category.,profit margin,lookup,profitability_agent
PROF_0048,How does operating profit compare across regions?,How does operating profit compare across regions?,operating profit,calculation,profitability_agent
PROF_0049,What is the gross profit percentage this quarter?,What is the gross profit percentage this quarter?,gross profit,lookup,profitability_agent
PROF_0050,Show net income for the Wealth Management unit.,Show net income for the Wealth Management unit.,net income,lookup,profitability_agent
LIQ_0044,What's our cash position at the end of FY2024?,What's our cash position at the end of FY2024?,cash reserves,lookup,liquidity_agent
LIQ_0045,Show working capital ratio for the SME Lending unit.,Show working capital ratio for the SME Lending unit.,working capital ratio,lookup,liquidity_agent
LIQ_0046,What is the projected cash flow for next quarter?,What is the projected cash flow for next quarter?,cash flow,calculation,liquidity_agent
LIQ_0047,How liquid are our short-term assets right now?,How liquid are our short-term assets right now?,liquidity ratio,calculation,liquidity_agent
LIQ_0048,Give me the current ratio trend for the past year.,Give me the current ratio trend for the past year.,current ratio,lookup,liquidity_agent
LIQ_0049,What's the operating cash flow margin this year?,What's the operating cash flow margin this year?,operating cash flow,calculation,liquidity_agent
LIQ_0050,Show me free cash flow by division.,Show me free cash flow by division.,free cash flow,lookup,liquidity_agent
PROD_0042,Create a new insurance product for young professionals.,Create a new insurance product for young professionals.,product creation,crud_action,product_agent
PROD_0043,Update the eligibility age limit for the Gold Credit Card.,Update the eligibility age limit for the Gold Credit Card.,product,crud_action,product_agent
PROD_0044,What's the current SKU count in our catalog?,What's the current SKU count in our catalog?,SKU,lookup,product_agent
PROD_0045,Remove the discontinued Fixed Deposit Plan from listings.,Remove the discontinued Fixed Deposit Plan from listings.,product,crud_action,product_agent
PROD_0046,Add a cashback feature to the Platinum Credit Card.,Add a cashback feature to the Platinum Credit Card.,product,crud_action,product_agent
PROD_0047,What is the annual fee for the Gold Credit Card?,What is the annual fee for the Gold Credit Card?,product pricing,lookup,product_agent
PROD_0048,Create a joint account product variant.,Create a joint account product variant.,product creation,crud_action,product_agent
PROD_0049,Update the minimum deposit requirement for Basic Checking Account.,Update the minimum deposit requirement for Basic Checking Account.,product,crud_action,product_agent
PROD_0050,Show me all products under the Consumer Finance segment.,Show me all products under the Consumer Finance segment.,product catalog,lookup,product_agent
KNOW_0041,What time zone are you operating in?,What time zone are you operating in?,,general,knowledge_agent
KNOW_0042,Can you explain what a fiscal quarter is?,Can you explain what a fiscal quarter is?,fiscal quarter,definition,knowledge_agent
KNOW_0043,What's the meaning of accrual accounting?,What's the meaning of accrual accounting?,accrual accounting,definition,knowledge_agent
KNOW_0044,Nice to meet you.,Nice to meet you.,,general,knowledge_agent
KNOW_0045,What does 'YoY' mean?,What does 'YoY' mean?,YoY,definition,knowledge_agent
KNOW_0046,Can you define what a balance sheet liability is?,Can you define what a balance sheet liability is?,balance sheet,definition,knowledge_agent
KNOW_0047,What is the general idea behind financial forecasting?,What is the general idea behind financial forecasting?,financial forecasting,definition,knowledge_agent
KNOW_0048,"How do you calculate percentages, generally speaking?","How do you calculate percentages, generally speaking?",,general,knowledge_agent
KNOW_0049,What's the difference between revenue and profit?,What's the difference between revenue and profit?,revenue;profit,definition,knowledge_agent
PROF_0051,What is the monthly trend of bank-wide net interest margin in the last 2 months?,What is the monthly trend of bank-wide net interest margin in the last 2 months?,net interest margin;NIM,calculation,profitability_agent
PROF_0052,What's our net interest margin for Q2 2025?,What's our net interest margin for Q2 2025?,net interest margin,calculation,profitability_agent
PROF_0053,Show me the NIM trend over the last 6 months.,Show me the NIM trend over the last 6 months.,NIM,lookup,profitability_agent
PROF_0054,How has net interest income changed since Q2 2025?,How has net interest income changed since Q2 2025?,net interest income,calculation,profitability_agent
PROF_0055,What is the interest income earned on loans for FY2024?,What is the interest income earned on loans for FY2024?,interest income,lookup,profitability_agent
PROF_0056,Calculate the yield spread for the last 2 months.,Calculate the yield spread for the last 2 months.,yield spread,calculation,profitability_agent
PROF_0057,What's our cost-to-income ratio this quarter?,What's our cost-to-income ratio this quarter?,cost-to-income ratio,lookup,profitability_agent
PROF_0058,Show me non-interest income for the the branch network.,Show me non-interest income for the the branch network.,non-interest income,lookup,profitability_agent
PROF_0059,What is the fee income generated in Q4 2025?,What is the fee income generated in Q4 2025?,fee income,lookup,profitability_agent
PROF_0060,How is margin compression affecting profitability this year?,How is margin compression affecting profitability this year?,margin compression,calculation,profitability_agent
PROF_0061,What's the average asset yield across our loan portfolio?,What's the average asset yield across our loan portfolio?,asset yield,calculation,profitability_agent
PROF_0062,Give me the net interest income by segment for Q2 2025.,Give me the net interest income by segment for Q2 2025.,net interest income,lookup,profitability_agent
PROF_0063,What is the trend in interest income over the past 3 quarters?,What is the trend in interest income over the past 3 quarters?,interest income,lookup,profitability_agent
PROF_0064,Calculate return on tangible equity for Q1 2026.,Calculate return on tangible equity for Q1 2026.,return on tangible equity,calculation,profitability_agent
PROF_0065,What's the net interest margin compared to last year?,What's the net interest margin compared to last year?,net interest margin,calculation,profitability_agent
PROF_0066,Show the NIM breakdown by loan category for Q2 2026.,Show the NIM breakdown by loan category for Q2 2026.,NIM,lookup,profitability_agent
PROF_0067,What is our spread income for Corporate Banking division in FY2024?,What is our spread income for Corporate Banking division in FY2024?,spread income,lookup,profitability_agent
PROF_0068,How much did net interest income grow in Q3 2025?,How much did net interest income grow in Q3 2025?,net interest income,calculation,profitability_agent
PROF_0069,What's the bank-wide net interest margin right now?,What's the bank-wide net interest margin right now?,net interest margin,lookup,profitability_agent
PROF_0070,Calculate the interest margin on the mortgage book for the last 2 months.,Calculate the interest margin on the mortgage book for the last 2 months.,interest margin,calculation,profitability_agent
PROF_0071,Show me the cost-to-income trend for the SME Lending unit.,Show me the cost-to-income trend for the SME Lending unit.,cost-to-income ratio,lookup,profitability_agent
PROF_0072,What is the RAROC for Personal Loan Plan A?,What is the RAROC for Personal Loan Plan A?,RAROC,calculation,profitability_agent
PROF_0073,How does our net interest margin compare across branches?,How does our net interest margin compare across branches?,net interest margin,calculation,profitability_agent
PROF_0074,What was the yield on earning assets for FY2025?,What was the yield on earning assets for FY2025?,yield on earning assets,lookup,profitability_agent
PROF_0075,Give me the fee income trend for the past year.,Give me the fee income trend for the past year.,fee income,lookup,profitability_agent
PROF_0076,What is the non-interest income ratio for last year?,What is the non-interest income ratio for last year?,non-interest income,calculation,profitability_agent
PROF_0077,Show the net interest margin for the Corporate Banking division over the last 4 quarters.,Show the net interest margin for the Corporate Banking division over the last 4 quarters.,net interest margin,lookup,profitability_agent
PROF_0078,What's driving the margin compression this quarter?,What's driving the margin compression this quarter?,margin compression,calculation,profitability_agent
PROF_0079,Calculate the net interest income to assets ratio.,Calculate the net interest income to assets ratio.,net interest income,calculation,profitability_agent
PROF_0080,What is our current NIM versus the industry benchmark?,What is our current NIM versus the industry benchmark?,NIM,calculation,profitability_agent
PROF_0081,Show me the profitability impact of falling interest margins.,Show me the profitability impact of falling interest margins.,net interest margin,calculation,profitability_agent
PROF_0082,What's the average yield spread across our deposit products?,What's the average yield spread across our deposit products?,yield spread,calculation,profitability_agent
PROF_0083,Calculate EBITDA margin for last year.,Calculate EBITDA margin for last year.,EBITDA margin,calculation,profitability_agent
PROF_0084,What is the net profit for the SME Lending unit in 2024?,What is the net profit for the SME Lending unit in 2024?,net profit,lookup,profitability_agent
PROF_0085,Show me ROI on capital deployed for Basic Checking Account.,Show me ROI on capital deployed for Basic Checking Account.,ROI,calculation,profitability_agent
PROF_0086,What's our operating profit for Q3 2025?,What's our operating profit for Q3 2025?,operating profit,lookup,profitability_agent
PROF_0087,Calculate gross margin for Premium Savings Account in Q3 2025.,Calculate gross margin for Premium Savings Account in Q3 2025.,gross margin,calculation,profitability_agent
